Raw_API,Full_API,Description
tf.estimator.LinearRegressor,"tf.estimator.LinearRegressor(
    feature_columns,
    model_dir=None,
    label_dimension=1,
    weight_column=None,
    optimizer='Ftrl',
    config=None,
    warm_start_from=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    sparse_combiner='sum'
)
","An estimator for TensorFlow Linear regression problems.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator, Estimator"
tf.estimator.LoggingTensorHook,"tf.estimator.LoggingTensorHook(
    tensors, every_n_iter=None, every_n_secs=None, at_end=False, formatter=None
)
","Prints the given tensors every N local steps, every N seconds, or at end.Inherits From: SessionRunHookView aliases"
tf.estimator.LogisticRegressionHead,"tf.estimator.LogisticRegressionHead(
    weight_column=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    name=None
)
","Creates a Head for logistic regression.Inherits From: RegressionHead, HeadView aliases"
tf.estimator.MultiClassHead,"tf.estimator.MultiClassHead(
    n_classes,
    weight_column=None,
    label_vocabulary=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    loss_fn=None,
    name=None
)
",Creates a Head for multi class classification.Inherits From: HeadView aliases
tf.estimator.MultiHead,"tf.estimator.MultiHead(
    heads, head_weights=None
)
",Creates a Head for multi-objective learning.Inherits From: HeadView aliases
tf.estimator.MultiLabelHead,"tf.estimator.MultiLabelHead(
    n_classes,
    weight_column=None,
    thresholds=None,
    label_vocabulary=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    loss_fn=None,
    classes_for_class_based_metrics=None,
    name=None
)
",Creates a Head for multi-label classification.Inherits From: HeadView aliases
tf.estimator.NanLossDuringTrainingError,"tf.estimator.NanLossDuringTrainingError(
    *args, **kwargs
)
",Unspecified run-time error.View aliases
tf.estimator.NanTensorHook,"tf.estimator.NanTensorHook(
    loss_tensor, fail_on_nan_loss=True
)
",Monitors the loss tensor and stops training if loss is NaN.Inherits From: SessionRunHookView aliases
tf.estimator.PoissonRegressionHead,"tf.estimator.PoissonRegressionHead(
    label_dimension=1,
    weight_column=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    compute_full_loss=True,
    name=None
)
","Creates a Head for poisson regression using tf.nn.log_poisson_loss.Inherits From: RegressionHead, HeadView aliases"
tf.estimator.ProfilerHook,"tf.estimator.ProfilerHook(
    save_steps=None,
    save_secs=None,
    output_dir='',
    show_dataflow=True,
    show_memory=False
)
",Captures CPU/GPU profiling information every N steps or seconds.Inherits From: SessionRunHookView aliases
tf.estimator.RegressionHead,"tf.estimator.RegressionHead(
    label_dimension=1,
    weight_column=None,
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    loss_fn=None,
    inverse_link_fn=None,
    name=None
)
",Creates a Head for regression using the mean_squared_error loss.Inherits From: HeadView aliases
tf.estimator.RunConfig,"tf.estimator.RunConfig(
    model_dir=None,
    tf_random_seed=None,
    save_summary_steps=100,
    save_checkpoints_steps=_USE_DEFAULT,
    save_checkpoints_secs=_USE_DEFAULT,
    session_config=None,
    keep_checkpoint_max=5,
    keep_checkpoint_every_n_hours=10000,
    log_step_count_steps=100,
    train_distribute=None,
    device_fn=None,
    protocol=None,
    eval_distribute=None,
    experimental_distribute=None,
    experimental_max_worker_delay_secs=None,
    session_creation_timeout_secs=7200,
    checkpoint_save_graph_def=True
)
",This class specifies the configurations for an Estimator run.View aliases
tf.estimator.SecondOrStepTimer,"tf.estimator.SecondOrStepTimer(
    every_secs=None, every_steps=None
)
",Timer that triggers at most once every N seconds or once every N steps.View aliases
tf.estimator.SessionRunArgs,"tf.estimator.SessionRunArgs(
    fetches, feed_dict=None, options=None
)
",Represents arguments to be added to a Session.run() call.View aliases
tf.estimator.SessionRunContext,"tf.estimator.SessionRunContext(
    original_args, session
)
",Provides information about the session.run() call being made.View aliases
tf.estimator.SessionRunValues,"tf.estimator.SessionRunValues(
    results, options, run_metadata
)
",Contains the results of Session.run().View aliases
tf.estimator.StepCounterHook,"tf.estimator.StepCounterHook(
    every_n_steps=100, every_n_secs=None, output_dir=None, summary_writer=None
)
",Hook that counts steps per second.Inherits From: SessionRunHookView aliases
tf.estimator.StopAtStepHook,"tf.estimator.StopAtStepHook(
    num_steps=None, last_step=None
)
",Hook that requests stop at a specified step.Inherits From: SessionRunHookView aliases
tf.estimator.SummarySaverHook,"tf.estimator.SummarySaverHook(
    save_steps=None,
    save_secs=None,
    output_dir=None,
    summary_writer=None,
    scaffold=None,
    summary_op=None
)
",Saves summaries every N steps.Inherits From: SessionRunHookView aliases
tf.estimator.TrainSpec,"tf.estimator.TrainSpec(
    input_fn, max_steps=None, hooks=None, saving_listeners=None
)
","Configuration for the ""train"" part for the train_and_evaluate call.View aliases"
tf.estimator.VocabInfo,"tf.estimator.VocabInfo(
    new_vocab,
    new_vocab_size,
    num_oov_buckets,
    old_vocab,
    old_vocab_size=-1,
    backup_initializer=None,
    axis=0
)
",Vocabulary information for warm-starting.View aliases
tf.estimator.WarmStartSettings,"tf.estimator.WarmStartSettings(
    ckpt_to_initialize_from,
    vars_to_warm_start='.*',
    var_name_to_vocab_info=None,
    var_name_to_prev_var_name=None
)
",Settings for warm-starting in tf.estimator.Estimators.View aliases
tf.estimator.add_metrics,"tf.estimator.add_metrics(
    estimator, metric_fn
)
",Creates a new tf.estimator.Estimator which has given metrics.View aliases
tf.estimator.classifier_parse_example_spec,"tf.estimator.classifier_parse_example_spec(
    feature_columns,
    label_key,
    label_dtype=tf.dtypes.int64,
    label_default=None,
    weight_column=None
)
",Generates parsing spec for tf.parse_example to be used with classifiers.
tf.estimator.experimental.InMemoryEvaluatorHook,"tf.estimator.experimental.InMemoryEvaluatorHook(
    estimator, input_fn, steps=None, hooks=None, name=None, every_n_iter=100
)
",Hook to run evaluation in training without a checkpoint.Inherits From: SessionRunHookView aliases
tf.estimator.experimental.LinearSDCA,"tf.estimator.experimental.LinearSDCA(
    example_id_column,
    num_loss_partitions=1,
    num_table_shards=None,
    symmetric_l1_regularization=0.0,
    symmetric_l2_regularization=1.0,
    adaptive=False
)
",Stochastic Dual Coordinate Ascent helper for linear estimators.View aliases
tf.estimator.experimental.RNNClassifier,"tf.estimator.experimental.RNNClassifier(
    sequence_feature_columns,
    context_feature_columns=None,
    units=None,
    cell_type=USE_DEFAULT,
    rnn_cell_fn=None,
    return_sequences=False,
    model_dir=None,
    n_classes=2,
    weight_column=None,
    label_vocabulary=None,
    optimizer='Adagrad',
    loss_reduction=tf.losses.Reduction.SUM_OVER_BATCH_SIZE,
    sequence_mask='sequence_mask',
    config=None
)
","A classifier for TensorFlow RNN models.Warning: Estimators are not recommended for new code.  Estimators runInherits From: RNNEstimator, Estimator"
tf.estimator.experimental.RNNEstimator,"tf.estimator.experimental.RNNEstimator(
    head,
    sequence_feature_columns,
    context_feature_columns=None,
    units=None,
    cell_type=USE_DEFAULT,
    rnn_cell_fn=None,
    return_sequences=False,
    model_dir=None,
    optimizer='Adagrad',
    config=None
)
",An Estimator for TensorFlow RNN models with user-specified head.Warning: Estimators are not recommended for new code.  Estimators runInherits From: Estimator
tf.estimator.experimental.build_raw_supervised_input_receiver_fn,"tf.estimator.experimental.build_raw_supervised_input_receiver_fn(
    features, labels, default_batch_size=None
)
",Build a supervised_input_receiver_fn for raw features and labels.View aliases
tf.estimator.experimental.call_logit_fn,"tf.estimator.experimental.call_logit_fn(
    logit_fn, features, mode, params, config
)
",Calls logit_fn (experimental).View aliases
tf.estimator.experimental.make_early_stopping_hook,"tf.estimator.experimental.make_early_stopping_hook(
    estimator, should_stop_fn, run_every_secs=60, run_every_steps=None
)
",Creates early-stopping hook.View aliases
tf.estimator.experimental.make_stop_at_checkpoint_step_hook,"tf.estimator.experimental.make_stop_at_checkpoint_step_hook(
    estimator, last_step, wait_after_file_check_secs=30
)
",Creates a proper StopAtCheckpointStepHook based on chief status.View aliases
tf.estimator.experimental.stop_if_higher_hook,"tf.estimator.experimental.stop_if_higher_hook(
    estimator,
    metric_name,
    threshold,
    eval_dir=None,
    min_steps=0,
    run_every_secs=60,
    run_every_steps=None
)
",Creates hook to stop if the given metric is higher than the threshold.View aliases
tf.estimator.experimental.stop_if_lower_hook,"tf.estimator.experimental.stop_if_lower_hook(
    estimator,
    metric_name,
    threshold,
    eval_dir=None,
    min_steps=0,
    run_every_secs=60,
    run_every_steps=None
)
",Creates hook to stop if the given metric is lower than the threshold.View aliases
tf.estimator.experimental.stop_if_no_decrease_hook,"tf.estimator.experimental.stop_if_no_decrease_hook(
    estimator,
    metric_name,
    max_steps_without_decrease,
    eval_dir=None,
    min_steps=0,
    run_every_secs=60,
    run_every_steps=None
)
",Creates hook to stop if metric does not decrease within given max steps.View aliases
tf.estimator.experimental.stop_if_no_increase_hook,"tf.estimator.experimental.stop_if_no_increase_hook(
    estimator,
    metric_name,
    max_steps_without_increase,
    eval_dir=None,
    min_steps=0,
    run_every_secs=60,
    run_every_steps=None
)
",Creates hook to stop if metric does not increase within given max steps.View aliases
tf.estimator.export.ClassificationOutput,"tf.estimator.export.ClassificationOutput(
    scores=None, classes=None
)
",Represents the output of a classification head.Inherits From: ExportOutputView aliases
tf.estimator.export.EvalOutput,"tf.estimator.export.EvalOutput(
    loss=None, predictions=None, metrics=None
)
",Represents the output of a supervised eval process.Inherits From: ExportOutputView aliases
tf.estimator.export.PredictOutput,"tf.estimator.export.PredictOutput(
    outputs
)
",Represents the output of a generic prediction head.Inherits From: ExportOutputView aliases
tf.estimator.export.RegressionOutput,"tf.estimator.export.RegressionOutput(
    value
)
",Represents the output of a regression head.Inherits From: ExportOutputView aliases
tf.estimator.export.ServingInputReceiver,"tf.estimator.export.ServingInputReceiver(
    features, receiver_tensors, receiver_tensors_alternatives=None
)
",A return type for a serving_input_receiver_fn.View aliases
tf.estimator.export.TensorServingInputReceiver,"tf.estimator.export.TensorServingInputReceiver(
    features, receiver_tensors, receiver_tensors_alternatives=None
)
",A return type for a serving_input_receiver_fn.View aliases
tf.estimator.export.build_parsing_serving_input_receiver_fn,"tf.estimator.export.build_parsing_serving_input_receiver_fn(
    feature_spec, default_batch_size=None
)
",Build a serving_input_receiver_fn expecting fed tf.Examples.View aliases
tf.estimator.export.build_raw_serving_input_receiver_fn,"tf.estimator.export.build_raw_serving_input_receiver_fn(
    features, default_batch_size=None
)
",Build a serving_input_receiver_fn expecting feature Tensors.View aliases
tf.estimator.regressor_parse_example_spec,"tf.estimator.regressor_parse_example_spec(
    feature_columns,
    label_key,
    label_dtype=tf.dtypes.float32,
    label_default=None,
    label_dimension=1,
    weight_column=None
)
",Generates parsing spec for tf.parse_example to be used with regressors.
tf.estimator.train_and_evaluate,"tf.estimator.train_and_evaluate(
    estimator, train_spec, eval_spec
)
",Train and evaluate the estimator.View aliases
tf.math.exp,"tf.math.exp(
    x, name=None
)
",Computes exponential of x element-wise.  \(y = e^x\).View aliases
tf.expand_dims,"tf.expand_dims(
    input, axis, name=None
)
",Returns a tensor with a length 1 axis inserted at index axis.
tf.experimental.BatchableExtensionType,"tf.experimental.BatchableExtensionType(
    *args, **kwargs
)
",An ExtensionType that can be batched and unbatched.Inherits From: ExtensionTypeView aliases
tf.experimental.DynamicRaggedShape,"tf.experimental.DynamicRaggedShape(
    row_partitions: Sequence[tf.experimental.RowPartition],
    inner_shape: tf.types.experimental.TensorLike,
    dtype: Optional[tf.dtypes.DType] = None,
    validate: bool = False,
    static_inner_shape: ... = None
)
","The shape of a ragged or dense tensor.Inherits From: BatchableExtensionType, ExtensionTypeView aliases"
tf.experimental.DynamicRaggedShape.Spec,"tf.experimental.DynamicRaggedShape.Spec(
    row_partitions: Tuple[RowPartitionSpec, ...],
    static_inner_shape: tf.TensorShape,
    dtype: tf.dtypes.DType
)
","A Spec for DynamicRaggedShape: similar to a static shape.Inherits From: TypeSpec, TraceTypeView aliases"
tf.experimental.ExtensionType,"tf.experimental.ExtensionType(
    *args, **kwargs
)
",Base class for TensorFlow ExtensionType classes.View aliases
